geoNameId	name	featureCode	countryCode	adminCode1	adminCode2	timeZoneId	latitude	longitude	iata	icao	cityId	cityName	isActive
4640715	Mc Kellar-Sipes Regional Airport	AIRP	US	TN	113	America/Chicago	35.60239	-88.92145	MKL	KMKL	4646325	Oak Grove	1
4640874	McMinn County Airport	AIRP	US	TN	107	America/New_York	35.39853	-84.56008	MMI	KMMI	4603284	Athens	1
4641067	Riley Creek Airport	AIRP	US	TN	145	America/New_York	35.82433	-84.53823	null	null	4602757	Anglers Cove	1
4641253	Memphis International Airport	AIRP	US	TN	157	America/Chicago	35.04218	-89.98157	MEM	KMEM	4641239	Memphis	1
4641353	Methodist Airport	AIRP	US	TN	157	America/Chicago	35.13676	-90.01842	null	null	4602767	Annesdale Park	1
4642203	Mitchell Airport	AIRP	US	TN	113	America/Chicago	35.57424	-88.7895	null	null	4605482	Bemis	1
4642366	Monroe County Airport	AIRP	US	TN	123	America/New_York	35.54557	-84.38162	null	KMNV	4639072	Madisonville	1
4642647	Moore-Murrell Airport	AIRP	US	TN	063	America/New_York	36.17862	-83.37663	MOR	KMOR	4642938	Morristown	1
4644308	Murfreesboro Municipal Airport	AIRP	US	TN	149	America/Chicago	35.8763	-86.37764	null	KMBT	4644312	Murfreesboro	1
4644380	Murray Ohio Airport	AIRP	US	TN	187	America/Chicago	36.03201	-86.79333	null	null	4668042	Williamsburg Estates	1
4644589	Nashville International Airport	AIRP	US	TN	037	America/Chicago	36.12983	-86.67131	BNA	KBNA	4644585	Nashville	1
4644592	Nashville Memorial Hospital Airport	AIRP	US	TN	037	America/Chicago	36.24922	-86.73611	null	null	4638411	Loveville (historical)	1
4644712	Needham'S Airport	AIRP	US	TN	157	America/Chicago	35.2907	-89.75315	null	null	4609184	Brunswick	1
4646572	Oliver Springs Inc Airport	AIRP	US	TN	001	America/New_York	36.03697	-84.30681	null	null	4650703	Poplar	1
4647512	Outlaw Field	AIRP	US	TN	125	America/Chicago	36.62171	-87.41473	CKV	KCKV	4613868	Clarksville	1
4647678	PCC Helipad	AIRH	US	TN	179	America/New_York	36.37511	-82.36653	null	null	4666222	Wayfield	1
4647831	Palmer Village-Napier Lake Airport	AIRP	US	TN	101	America/Chicago	35.4471	-87.50417	null	null	4644543	Napier	1
4647978	Parish Aerodrome Airport	AIRP	US	TN	031	America/Chicago	35.37508	-86.24999	null	null	4656872	Sharondale	1
4648183	Parr Field Airport	AIRP	US	TN	125	America/Chicago	36.55473	-87.44853	null	null	4613868	Clarksville	1
4648831	Perry County Airport	AIRP	US	TN	135	America/Chicago	35.59495	-87.87566	null	null	4636915	Linden	1
4650954	Portland Municipal Airport	AIRP	US	TN	165	America/Chicago	36.59306	-86.47875	null	null	4650946	Portland	1
