AHF	AHF	Arapahoe Municipal Airport	Arapahoe	NE	US	401800N	0995400W	2	A
AHH	AHH	Amery Municipal Airport	Amery	WI	US	451800N	0922100W	2	A
AHI	AHI	Amahai Airport	Amahai		ID	032000S	1285500E	3	A
AHJ	AHJ	Aba Hongyuan Airport	Aba Tibetan		CN	323153N	1022107E	0	A
AHL	AHL	Aishalton Airport	Aishalton		GY	022900N	0591900W	0	A
AHM	AHM	Ashland Municipal Airport	Ashland	OR	US	421125N	1223938W	4	A
AHN	AHN	Athens Airport	Athens	GA	US	335654N	0831937W	1	A
AHO	AHO	Fertilia Airport	Alghero		IT	403752N	0081719E	0	A
AHS	AHS	Ahuas Airport	Ahuas		HN	152630N	0842530W	0	A
AHU	AHU	Cherif El Idrissi Airport	Al Hoceima		MA	351047N	0035013W	0	A
AHW	AHW	Saih Rawl Airport	Saih Rawl		OM	212034N	0544556E	0	A
AHY	AHY	Ambatolahy Airport	Ambatolahy		MG	200100S	0453200E	0	A
AHZ	AHZ	Alpe D Huez Airport	Alpe D Huez		FR	450500N	0060500E	0	A
AIA	AIA	Alliance Municipal Airport	Alliance	NE	US	420306N	1024824W	3	A
AIC	AIC	Ailinglapalap Airport	Airok		MH	073000N	1705000E	0	A
AID	AID	Anderson Municipal Airport	Anderson	IN	US	401000N	0854100W	1	A
AIE	AIE	Aiome Airport	Aiome		PG	051000S	1444000E	1	A
AIF	AIF	Marcelo P. Halzhause Airport	Assis	SP	BR	224000S	0502500W	1	A
AIG	AIG	Yalinga Airport	Yalinga		CF	063100N	0231500E	0	A
AIH	AIH	Aiambak Airport	Aiambak		PG	072055S	1411559E	1	A
AII	AII	Ali Sabieh Airport	Ali Sabieh		DJ	110900N	0424300E	0	A
AIK	AIK	Aiken Municipal Airport	Aiken	SC	US	333400N	0814300W	1	A
AIL	AIL	Ailigandi Airport	Ailigandi		PA	091500N	0780500W	0	A
AIM	AIM	Ailuk Island Airport	Ailuk Island		MH	101200N	1695900E	0	A
AIN	AIN	Wainwright Airport	Wainwright	AK	US	703800N	1600200W	5	A
AIO	AIO	Atlantic Municipal Airport	Atlantic	IA	US	412400N	0950100W	2	A
AIR	AIR	Aripuana Airport	Aripuana	MT	BR	101500S	0592300W	2	A
AIS	AIS	Arorae Airport	Arorae		KI	023900S	1765000E	1	A
AIT	AIT	Aitutaki Island Airport	Aitutaki Island		CK	185100S	1594500W	0	A
